Region,type,trip,night,longitude,latitude
New South Wales,international,3664,95220,144.51,-33.35
Victoria,international,2394,61084,142.73,-36.96
Queensland,international,2101,51472,145.37,-24.72
South Australia,international,465,14315,132.64,-28.84
Western Australia,international,804,30452,120.83,-28.55
Tasmania,international,236,4267,146.42,-42.29
Northern Territory,international,199,4544,133.23,-22.48
Australian Capital Territory,international,190,4748,148.957,-35.467
New South Wales,domestic,37269,117787,144.51,-33.35
Victoria,domestic,28600,82551,142.73,-36.96
Queensland,domestic,24871,96644,145.37,-24.72
South Australia,domestic,7459,25843,132.64,-28.84
Western Australia,domestic,10950,49915,120.83,-28.55
Tasmania,domestic,3146,12651,146.42,-42.29
Northern Territory,domestic,1447,7056,133.23,-22.48
Australian Capital Territory,domestic,3105,8633,148.957,-35.467
